timestamp,points,mean_px,max_px,mean_norm,max_norm
751949653,0,0.000,0.000,0.00000,0.00000
751949653,0,0.000,0.000,0.00000,0.00000
751949795,0,0.000,0.000,0.00000,0.00000
751949795,33,1440.506,4496.646,1.33380,4.16356
751949900,33,1450.610,4506.061,1.34316,4.17228
751949900,33,1450.610,4506.061,1.34316,4.17228
751950023,33,1453.860,4514.100,1.34617,4.17972
751950023,33,1453.860,4514.100,1.34617,4.17972
751950145,33,1449.917,4517.507,1.34252,4.18288
751950145,33,1449.917,4517.507,1.34252,4.18288
751950277,33,1434.365,4543.361,1.32812,4.20682
751950277,33,1434.365,4543.361,1.32812,4.20682
751950398,33,1402.976,4523.949,1.29905,4.18884
751950398,33,1402.976,4523.949,1.29905,4.18884
751950525,54,1045.816,4523.949,0.96835,4.18884
751950525,54,981.151,4128.481,0.90847,3.82267
751950647,54,989.651,4019.544,0.91634,3.72180
751950647,33,1311.071,4019.544,1.21395,3.72180
751950778,33,1303.475,4006.732,1.20692,3.70994
751950778,33,1303.475,4006.732,1.20692,3.70994
751950905,33,1283.208,4017.320,1.18816,3.71974
751951024,33,1353.852,4175.487,1.25357,3.86619
751950905,33,1283.208,4017.320,1.18816,3.71974
751951024,33,1353.852,4175.487,1.25357,3.86619
751951161,33,1445.973,4217.009,1.33886,3.90464
751951161,33,1445.973,4217.009,1.33886,3.90464
751951276,33,1395.605,4237.540,1.29223,3.92365
751951276,54,1058.471,4237.540,0.98007,3.92365
751951403,54,1050.011,4203.199,0.97223,3.89185
751951403,54,1026.292,4203.199,0.95027,3.89185
751951528,54,1023.313,4201.599,0.94751,3.89037
751951656,54,1006.540,4193.562,0.93198,3.88293
751951656,54,938.109,4193.562,0.86862,3.88293
751951777,54,928.042,4130.459,0.85930,3.82450
751951777,75,784.926,4130.459,0.72678,3.82450
751951777,75,758.348,4130.459,0.70217,3.82450
751951913,75,749.761,4107.731,0.69422,3.80345
751951913,75,731.431,4107.731,0.67725,3.80345
751952031,75,720.918,4041.368,0.66752,3.74201
751952153,75,714.456,4008.951,0.66153,3.71199
751952153,75,701.614,4008.951,0.64964,3.71199
751952153,75,706.270,4008.951,0.65395,3.71199
751952273,75,703.225,4001.981,0.65113,3.70554
751952273,75,712.498,4001.981,0.65972,3.70554
751952387,75,714.829,3997.748,0.66188,3.70162
751952387,75,710.063,3997.748,0.65747,3.70162
751952506,75,715.493,4073.199,0.66249,3.77148
751952506,75,713.510,4073.199,0.66066,3.77148
751952624,75,711.568,4070.909,0.65886,3.76936
751952624,75,707.070,4070.909,0.65469,3.76936
751952732,75,705.511,4059.493,0.65325,3.75879
751952732,75,703.182,4059.493,0.65109,3.75879
751952855,75,706.714,4077.121,0.65436,3.77511
