timestamp,points,mean_px,max_px,mean_norm,max_norm
696036107,54,733.865,3214.099,0.67950,2.97602
696036485,54,780.527,3482.703,0.72271,3.22472
696036773,54,829.355,3846.399,0.76792,3.56148
696036881,54,894.241,4010.705,0.82800,3.71362
696036989,75,793.817,4028.412,0.73502,3.73001
696037102,75,800.430,4068.615,0.74114,3.76724
696037208,75,760.557,4132.256,0.70422,3.82616
696037320,54,906.414,4217.969,0.83927,3.90553
696037406,75,641.352,4225.627,0.59384,3.91262
696037496,75,648.214,4209.757,0.60020,3.89792
696037580,75,638.258,4112.108,0.59098,3.80751
696037669,75,632.920,4040.268,0.58604,3.74099
696037747,75,638.303,3986.176,0.59102,3.69090
696038197,75,600.061,3531.881,0.55561,3.27026
696038414,75,601.108,3482.867,0.55658,3.22488
696038468,75,601.849,3562.818,0.55727,3.29891
696038554,75,614.620,3723.057,0.56909,3.44728
696039071,75,631.892,3762.798,0.58508,3.48407
696039146,75,612.393,3643.698,0.56703,3.37379
696039270,75,637.893,3724.848,0.59064,3.44893
696039339,75,639.444,3693.011,0.59208,3.41946
696039674,75,625.705,3748.876,0.57936,3.47118
696039741,75,629.588,3782.937,0.58295,3.50272
696039878,75,630.664,3814.357,0.58395,3.53181
696040007,75,632.787,3843.384,0.58591,3.55869
696040339,75,618.621,3700.843,0.57280,3.42671
696040473,75,623.349,3680.492,0.57718,3.40786
696040548,75,642.859,3782.932,0.59524,3.50272
696040623,75,652.059,3829.017,0.60376,3.54539
696040779,75,645.503,3741.969,0.59769,3.46479
696041002,75,642.691,3626.349,0.59508,3.35773
696041073,75,645.892,3628.567,0.59805,3.35978
696041493,75,655.197,3789.425,0.60666,3.50873
696041577,75,660.782,3841.656,0.61184,3.55709
696041665,75,675.774,3914.549,0.62572,3.62458
696041754,75,674.477,3909.454,0.62452,3.61986
696041832,75,676.827,3924.797,0.62669,3.63407
696041910,75,674.044,3917.560,0.62411,3.62737
696041992,75,675.121,3913.555,0.62511,3.62366
696042080,75,675.513,3915.288,0.62547,3.62527
696042410,75,700.863,3989.561,0.64895,3.69404
696042500,75,710.294,4024.017,0.65768,3.72594
696042602,75,712.746,4022.768,0.65995,3.72478
696042687,75,708.405,3982.819,0.65593,3.68780
696042783,75,714.267,4008.718,0.66136,3.71178
696042875,75,654.043,4013.043,0.60560,3.71578
696042978,75,649.412,4012.811,0.60131,3.71557
696043077,75,648.138,4009.661,0.60013,3.71265
696043186,75,653.730,4094.481,0.60531,3.79119
696043297,75,660.454,4086.228,0.61153,3.78354
696043408,75,668.310,4079.393,0.61881,3.77722
696043511,75,663.042,4006.117,0.61393,3.70937
696043625,75,648.335,3954.840,0.60031,3.66189
696043730,75,638.596,3848.088,0.59129,3.56304
696043835,75,633.415,3788.640,0.58650,3.50800
696043949,75,626.372,3681.077,0.57997,3.40840
696044054,75,625.743,3689.494,0.57939,3.41620
696044167,75,615.601,3686.134,0.57000,3.41309
696044273,75,613.568,3682.269,0.56812,3.40951
696044379,75,618.678,3695.066,0.57285,3.42136
696044489,75,625.656,3680.360,0.57931,3.40774
696044611,75,633.483,3733.123,0.58656,3.45660
696044703,75,632.929,3732.769,0.58605,3.45627
696044816,75,634.601,3732.188,0.58759,3.45573
696044919,75,649.523,3736.909,0.60141,3.46010
696045029,75,634.098,3715.204,0.58713,3.44000
696045136,75,633.040,3688.509,0.58615,3.41529
696045249,75,613.843,3632.069,0.56837,3.36303
696045356,75,640.041,3635.441,0.59263,3.36615
696045463,75,662.516,3665.244,0.61344,3.39374
