timestamp,points,mean_px,max_px,mean_norm,max_norm
724383690,33,1742.019,4728.485,1.61298,4.37823
724383802,33,1763.202,4799.443,1.63259,4.44393
724384271,33,1887.719,5126.524,1.74789,4.74678
724384356,33,1911.042,5106.162,1.76948,4.72793
724384442,33,1933.189,5142.952,1.78999,4.76199
724384623,33,1960.973,5150.477,1.81572,4.76896
724384715,33,1967.559,5194.456,1.82181,4.80968
724384810,33,2002.840,5222.417,1.85448,4.83557
724384899,33,1945.008,5311.750,1.80093,4.91829
724384991,33,1889.811,5304.585,1.74983,4.91165
724385092,33,1681.838,5125.479,1.55726,4.74581
724385458,75,860.189,4511.355,0.79647,4.17718
724385544,54,940.277,4412.611,0.87063,4.08575
724385633,54,919.761,4364.326,0.85163,4.04104
724385818,75,864.170,4338.850,0.80016,4.01745
724385908,75,876.723,4353.612,0.81178,4.03112
724386001,75,881.583,4384.597,0.81628,4.05981
724386092,75,877.036,4413.408,0.81207,4.08649
724386191,75,873.044,4444.486,0.80837,4.11526
724386276,75,877.206,4440.031,0.81223,4.11114
724386437,75,873.457,4419.271,0.80876,4.09192
724386769,75,909.135,4460.659,0.84179,4.13024
724386853,75,908.013,4410.910,0.84075,4.08418
724386970,75,902.119,4350.695,0.83530,4.02842
724387034,75,888.505,4349.346,0.82269,4.02717
724387189,75,858.073,4307.686,0.79451,3.98860
724387269,75,858.293,4294.524,0.79472,3.97641
724387354,75,846.943,4209.095,0.78421,3.89731
724387603,75,816.968,4100.360,0.75645,3.79663
724387689,75,815.849,4095.920,0.75542,3.79252
724387777,75,807.859,4052.574,0.74802,3.75238
724387871,54,1039.176,4058.828,0.96220,3.75817
724387963,75,901.644,4061.589,0.83486,3.76073
724388059,75,925.306,4036.400,0.85676,3.73741
724388147,54,1050.071,4006.325,0.97229,3.70956
724388244,54,1047.869,4056.968,0.97025,3.75645
724388329,54,1039.604,4053.575,0.96260,3.75331
724388421,54,1037.056,4049.957,0.96024,3.74996
724388513,54,1050.406,4020.102,0.97260,3.72232
724389061,75,905.475,3966.386,0.83840,3.67258
724389154,75,896.812,3942.856,0.83038,3.65079
724389246,75,888.550,3944.383,0.82273,3.65221
724389888,75,857.377,4029.409,0.79387,3.73093
724389977,75,850.716,4063.925,0.78770,3.76289
724390074,75,825.955,4085.285,0.76477,3.78267
724390164,75,811.011,4083.207,0.75094,3.78075
724390258,75,805.237,4093.057,0.74559,3.78987
724390347,75,801.201,4076.013,0.74185,3.77409
724390440,75,780.607,4095.177,0.72278,3.79183
724390530,33,1401.492,4268.596,1.29768,3.95240
724390623,33,1435.160,4353.492,1.32885,4.03101
724390714,33,1615.239,4637.932,1.49559,4.29438
724390814,33,1689.420,4761.637,1.56428,4.40892
724391265,33,1877.964,5261.946,1.73886,4.87217
724391739,33,2029.683,5678.266,1.87934,5.25765
724392273,33,2039.322,5630.820,1.88826,5.21372
724392624,54,1355.201,5424.331,1.25482,5.02253
724392742,54,1273.642,5204.415,1.17930,4.81890
724393089,54,1222.836,4705.567,1.13226,4.35701
724393207,54,1197.540,4604.963,1.10883,4.26385
724393441,75,808.569,4452.036,0.74868,4.12226
724393558,75,784.754,4488.559,0.72662,4.15607
724393673,75,784.537,4441.632,0.72642,4.11262
724393792,75,803.637,4452.625,0.74411,4.12280
724393909,75,816.292,4498.383,0.75583,4.16517
724394023,75,840.514,4666.194,0.77825,4.32055
724394142,75,828.871,4650.265,0.76747,4.30580
724394261,75,838.039,4691.747,0.77596,4.34421
724394375,75,838.128,4693.027,0.77604,4.34540
724394491,75,835.851,4651.766,0.77394,4.30719
724394607,75,844.156,4550.420,0.78163,4.21335
724394720,75,820.562,4557.446,0.75978,4.21986
724394825,75,815.702,4518.241,0.75528,4.18356
724394936,75,814.041,4501.388,0.75374,4.16795
724395042,75,798.964,4472.433,0.73978,4.14114
724395155,75,802.132,4449.256,0.74272,4.11968
724395254,75,807.911,4461.667,0.74807,4.13117
724395356,75,802.990,4462.608,0.74351,4.13204
724395453,75,824.115,4516.060,0.76307,4.18154
724395653,75,814.618,4450.093,0.75428,4.12046
724395750,75,817.107,4451.418,0.75658,4.12168
724395954,75,810.127,4428.480,0.75012,4.10044
724396052,75,814.201,4444.902,0.75389,4.11565
724396153,75,814.358,4446.708,0.75404,4.11732
724396253,75,819.146,4491.639,0.75847,4.15893
724396360,75,817.709,4506.396,0.75714,4.17259
724396452,75,817.826,4508.355,0.75725,4.17440
724396553,75,819.274,4528.235,0.75859,4.19281
724396756,75,817.249,4490.581,0.75671,4.15795
724396955,75,812.454,4453.473,0.75227,4.12359
724397053,75,814.759,4453.575,0.75441,4.12368
724397254,75,821.106,4489.048,0.76028,4.15653
724397352,75,821.866,4488.120,0.76099,4.15567
724397454,75,818.434,4473.322,0.75781,4.14196
724397557,75,819.580,4478.649,0.75887,4.14690
724397654,75,820.391,4478.452,0.75962,4.14671
724397755,75,817.929,4474.116,0.75734,4.14270
724397855,75,827.091,4529.619,0.76582,4.19409
724397955,75,831.412,4549.756,0.76983,4.21274
724398057,75,832.943,4527.305,0.77124,4.19195
724398153,75,859.374,4528.188,0.79572,4.19277
724398255,75,857.740,4471.128,0.79420,4.13993
724398359,75,841.673,4318.657,0.77933,3.99876
724398458,75,853.577,4267.835,0.79035,3.95170
724398554,75,855.564,4289.874,0.79219,3.97211
724398657,75,871.357,4319.752,0.80681,3.99977
724398740,75,898.801,4390.250,0.83222,4.06505
724398830,75,924.686,4430.575,0.85619,4.10238
724398923,75,931.769,4426.853,0.86275,4.09894
724399013,75,923.931,4431.475,0.85549,4.10322
724399113,75,923.949,4453.501,0.85551,4.12361
724399204,75,928.378,4443.700,0.85961,4.11454
724399280,75,933.191,4446.999,0.86407,4.11759
724399371,75,942.213,4455.459,0.87242,4.12543
724399620,75,960.730,4348.962,0.88956,4.02682
724399866,75,907.171,4199.820,0.83997,3.88872
724399950,75,887.409,4180.175,0.82167,3.87053
724400034,75,875.452,4129.357,0.81060,3.82348
724400124,75,877.127,4144.262,0.81215,3.83728
724400220,75,878.530,4147.221,0.81345,3.84002
724400315,75,883.347,4175.839,0.81791,3.86652
724400405,75,884.134,4168.852,0.81864,3.86005
724400494,75,877.848,4172.493,0.81282,3.86342
724400589,75,873.807,4177.640,0.80908,3.86819
724400676,75,873.390,4168.708,0.80869,3.85992
724400768,75,874.991,4220.040,0.81018,3.90744
724400858,54,1171.924,4209.252,1.08511,3.89746
724401133,75,1035.500,4104.713,0.95880,3.80066
724401317,75,1030.257,4095.117,0.95394,3.79177
724401407,75,1005.075,4089.493,0.93063,3.78657
724401503,75,974.431,4095.208,0.90225,3.79186
724401777,75,899.448,4275.844,0.83282,3.95912
724401866,54,1185.051,4273.296,1.09727,3.95676
724402787,33,1817.826,5235.904,1.68317,4.84806
timestamp,points,mean_px,max_px,mean_norm,max_norm
724402882,33,1758.113,5249.111,1.62788,4.86029
