timestamp,points,mean_px,max_px,mean_norm,max_norm
694985623,54,954.505,4291.583,0.88380,3.97369
694985864,54,902.174,4441.936,0.83535,4.11290
694985939,54,913.239,4541.512,0.84559,4.20510
694986074,54,944.650,4769.120,0.87468,4.41585
694986339,75,807.129,4940.006,0.74734,4.57408
694986422,75,838.350,5053.327,0.77625,4.67901
694986736,75,837.212,5118.790,0.77520,4.73962
694986824,54,936.977,5117.766,0.86757,4.73867
694986916,54,950.879,5144.767,0.88044,4.76367
694987374,54,940.720,5096.564,0.87104,4.71904
694987644,54,969.730,5303.059,0.89790,4.91024
694987970,54,1031.697,5626.388,0.95527,5.20962
694988058,54,1019.267,5576.230,0.94377,5.16318
694988221,54,937.920,5199.713,0.86844,4.81455
694988676,75,719.636,5023.516,0.66633,4.65140
694988776,75,725.214,5010.111,0.67149,4.63899
694988876,75,715.423,4968.579,0.66243,4.60054
694988979,75,716.845,4969.816,0.66375,4.60168
694989078,54,927.758,4791.562,0.85903,4.43663
694989180,75,703.940,4826.867,0.65180,4.46932
694989280,75,705.888,4829.557,0.65360,4.47181
694989480,75,732.171,5047.944,0.67794,4.67402
694989583,75,717.174,4884.954,0.66405,4.52311
694989682,75,727.538,4898.738,0.67365,4.53587
694989777,75,734.915,4958.071,0.68048,4.59081
694989879,75,738.238,4958.913,0.68355,4.59159
694990349,75,744.635,5002.329,0.68948,4.63179
694990529,75,752.100,5067.167,0.69639,4.69182
694990622,75,749.627,5052.625,0.69410,4.67836
694990714,75,748.012,5047.350,0.69260,4.67347
694990813,54,977.431,4994.619,0.90503,4.62465
694990911,75,727.351,4962.984,0.67347,4.59536
694991019,75,719.271,4951.843,0.66599,4.58504
694991134,75,726.116,4949.125,0.67233,4.58252
694991241,75,741.166,4956.984,0.68626,4.58980
694991360,75,758.714,4982.670,0.70251,4.61358
694991471,75,762.631,4983.444,0.70614,4.61430
694991589,75,763.803,4979.789,0.70722,4.61092
694991705,75,767.525,4998.406,0.71067,4.62815
694991823,75,750.213,4872.266,0.69464,4.51136
694991943,75,742.708,4883.857,0.68769,4.52209
694992056,75,733.787,4885.400,0.67943,4.52352
694992177,75,735.214,4963.738,0.68075,4.59605
694992290,75,729.265,4957.645,0.67525,4.59041
694992407,75,728.705,4956.583,0.67473,4.58943
694992523,54,866.039,4930.533,0.80189,4.56531
694992642,75,672.174,4984.305,0.62238,4.61510
694992757,75,675.788,4970.839,0.62573,4.60263
694992874,75,665.381,4958.469,0.61609,4.59118
694992995,75,680.565,4910.607,0.63015,4.54686
694993108,75,691.062,4859.793,0.63987,4.49981
694993227,75,703.983,4863.186,0.65184,4.50295
694993357,75,710.360,4824.683,0.65774,4.46730
694993478,75,714.698,4783.944,0.66176,4.42958
694993601,75,709.837,4786.327,0.65726,4.43178
694993727,75,699.984,4738.309,0.64813,4.38732
694993842,75,694.095,4656.159,0.64268,4.31126
694993955,75,672.749,4466.528,0.62292,4.13567
694994079,75,685.881,4492.708,0.63508,4.15992
694994183,75,659.480,4424.677,0.61063,4.09692
694994291,75,665.806,4426.950,0.61649,4.09903
694994399,75,669.914,4417.446,0.62029,4.09023
694994501,75,674.895,4428.700,0.62490,4.10065
694994600,75,670.713,4431.002,0.62103,4.10278
694994693,75,652.610,4434.255,0.60427,4.10579
694994785,75,648.943,4398.244,0.60087,4.07245
694994875,75,657.443,4421.011,0.60874,4.09353
694994967,75,657.810,4418.872,0.60908,4.09155
694995062,75,654.075,4418.945,0.60563,4.09162
694995155,75,660.766,4421.077,0.61182,4.09359
694995243,75,654.401,4385.373,0.60593,4.06053
694995339,75,661.515,4404.373,0.61251,4.07812
694995435,75,659.367,4418.251,0.61052,4.09097
