ts,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133
1177837528,0.5694601,0.3884693,0.6110864,0.3480277,0.5308962,0.3520859,0.6470017,0.3679969,0.50173914,0.37522304,0.7606002,0.58170134,0.42471617,0.5738517,0.8483469,0.93787706,0.3116503,0.8132877,0.7632161,0.786453,0.30871344,0.79770094,0.6476896,1.0,0.44926906,1.0,0.67366654,1.0,0.4388933,1.0,0.64956504,1.0,0.42439684,1.0,0.6043107,0.42992213,0.54092634,0.43162915,0.735363,0.76350206,0.30114743,0.81724864,0.70122373,0.726081,0.32615438,0.78685796,0.6964557,0.72552276,0.33732828,0.7768573,0.77181727,0.82553506,0.7143945,0.7904168,0.6734921,0.750396,0.64483505,0.72187245,0.61820996,0.69474953,0.7182402,0.68921053,0.6598492,0.6905634,0.6342287,0.7134825,0.6176782,0.73870265,0.74334824,0.6943413,0.6752001,0.7168891,0.6562244,0.7622097,0.6546372,0.7972787,0.765266,0.71262705,0.70272475,0.7307052,0.6792118,0.7725961,0.67533886,0.8044337,0.7843392,0.7386321,0.75027853,0.7286492,0.72049254,0.7456442,0.7026462,0.7633655,0.3071511,0.77974826,0.33463392,0.7756689,0.3567501,0.7755082,0.37257025,0.7923568,0.37974468,0.81747335,0.3363113,0.7387967,0.3484078,0.7951449,0.35082543,0.83215994,0.35278177,0.8577379,0.30080393,0.74590003,0.3157819,0.8097581,0.3256872,0.8470256,0.33512932,0.87362784,0.27268714,0.7603792,0.28821394,0.8242146,0.3051357,0.85778826,0.32052615,0.8814018,0.2514901,0.77910227,0.25376162,0.82267356,0.26684466,0.84940577,0.28056943,0.8698295
1177837823,0.55451167,0.3887981,0.59979254,0.34843192,0.5148822,0.35075086,0.6332656,0.36808887,0.48558736,0.3715187,0.7318678,0.58463556,0.3831729,0.57309407,0.8042159,0.93970895,0.21454856,0.8172904,0.7646926,0.80917996,0.2701359,0.77356,0.6295297,1.0,0.41988602,1.0,0.66932744,1.0,0.42432946,1.0,0.65070593,1.0,0.43048832,1.0,0.587165,0.4299254,0.5237417,0.43025923,0.7514333,0.79515,0.29605702,0.78688854,0.72204554,0.7461196,0.31889692,0.7475213,0.70982534,0.7447373,0.32050085,0.7411826,0.7696345,0.8377099,0.7258351,0.80933213,0.6897729,0.77174807,0.6642813,0.74637014,0.6391389,0.72066575,0.72953755,0.702428,0.6822786,0.7177578,0.66171956,0.74906784,0.647521,0.7784755,0.75863755,0.70884424,0.7028402,0.745047,0.6844583,0.7922058,0.6796675,0.8256499,0.7838827,0.7293822,0.73251855,0.7582879,0.7108057,0.8006727,0.7042935,0.8309713,0.80518895,0.756673,0.77859294,0.75843877,0.7526106,0.7760648,0.73613554,0.790731,0.2748461,0.77016515,0.31340644,0.7723426,0.34788546,0.77568656,0.37067062,0.7799956,0.37669376,0.78707534,0.34000373,0.71017396,0.3525705,0.762249,0.3480762,0.7971052,0.341132,0.8178999,0.30555418,0.711154,0.32261586,0.7796722,0.32685408,0.8033872,0.32692498,0.8116253,0.27540892,0.7259898,0.295974,0.7925216,0.30355275,0.80848885,0.30628723,0.81058943,0.24979483,0.74599206,0.27055275,0.79878056,0.28894484,0.82185006,0.30255142,0.83421034
1177838307,0.51512825,0.39107862,0.5611149,0.3493905,0.469147,0.35231456,0.5927186,0.36793786,0.44092056,0.3715248,0.6937377,0.58417946,0.35472354,0.54897195,0.78657687,0.9162826,0.16428179,0.69261515,0.7673451,0.7682874,0.2687978,0.51047784,0.5941094,1.0,0.40509483,1.0,0.6093349,1.0,0.3927436,1.0,0.60239995,1.0,0.3939511,1.0,0.5505492,0.43071252,0.4799444,0.43026412,0.7728524,0.7337534,0.301648,0.43785125,0.7557365,0.70854867,0.32207727,0.43311638,0.7395784,0.71172047,0.3251754,0.45261043,0.7655587,0.79449457,0.7269423,0.7630238,0.7000964,0.72178143,0.684852,0.6922242,0.67675954,0.6618382,0.74947536,0.65633225,0.7152957,0.66304755,0.69739896,0.6895446,0.68175733,0.7178273,0.78018737,0.6649538,0.73854685,0.68667376,0.71448714,0.73083544,0.7007739,0.7646603,0.8062471,0.68774897,0.7690058,0.704769,0.7394974,0.7438815,0.72195977,0.77483183,0.8275789,0.7176014,0.825537,0.7038127,0.80486095,0.71497875,0.7860094,0.7272573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1177838555,0.49919057,0.3966436,0.5392502,0.35453388,0.45575613,0.3587759,0.57279605,0.37055445,0.4278427,0.3742941,0.6873027,0.59752977,0.33790347,0.5673423,0.7728558,0.9452729,0.122677125,0.63953876,0.76712495,0.773785,0.31877595,0.34898323,0.59403837,1.0,0.39536285,1.0,0.6002375,1.0,0.3695513,1.0,0.58687234,1.0,0.36907557,1.0,0.53231186,0.4331862,0.46720403,0.43044463,0.77389705,0.737491,0.36257634,0.26267532,0.76401705,0.7032991,0.37186483,0.25666726,0.7523254,0.71225834,0.37017182,0.28962812,0.75706947,0.79365844,0.7231763,0.7626798,0.6991665,0.7204863,0.68498605,0.6909506,0.68025386,0.6620656,0.75048226,0.6590772,0.71859294,0.6655576,0.6981698,0.69193196,0.6814799,0.7167415,0.78019506,0.6699784,0.73970366,0.6891045,0.712981,0.731817,0.69833183,0.7620905,0.8041885,0.6938555,0.7681825,0.7080084,0.73822325,0.74503475,0.71975285,0.7719424,0.82345927,0.7242714,0.82405174,0.7102953,0.80496556,0.7215998,0.78622895,0.7328683,0.34008822,0.34786743,0.3390882,0.29092517,0.34953642,0.25335306,0.3656096,0.22784323,0.38536468,0.21271697,0.35115826,0.23055094,0.3668873,0.18746257,0.38828596,0.1777942,0.40063614,0.1770429,0.3679128,0.23157501,0.394815,0.18631382,0.41878247,0.17823756,0.43092358,0.18444133,0.3852487,0.24255243,0.42379725,0.20530108,0.4459672,0.20879944,0.45550948,0.21970874,0.40471742,0.26284292,0.44567087,0.24705186,0.466203,0.24862596,0.4754189,0.25387186
1177838807,0.49923837,0.39104602,0.5385982,0.35080713,0.45694318,0.35473385,0.5729501,0.36634547,0.42916277,0.3700608,0.6902915,0.5959144,0.34992018,0.564773,0.77266216,0.94770133,0.1193738,0.61415356,0.7677699,0.7850402,0.32905975,0.34480134,0.5991847,1.0,0.39891794,1.0,0.60822535,1.0,0.3862343,1.0,0.5924058,1.0,0.38723603,1.0,0.5324549,0.4261127,0.46837202,0.42360228,0.78003913,0.7397249,0.37377268,0.2572887,0.7717852,0.71270084,0.38317522,0.24690948,0.7570621,0.71937543,0.3811739,0.27955267,0.76776856,0.8019693,0.7336712,0.7701257,0.7100098,0.72690386,0.69771785,0.6966052,0.69688606,0.6680339,0.7614451,0.6647292,0.7307539,0.67166746,0.70991546,0.6995523,0.692796,0.7264614,0.79304445,0.67677945,0.7545256,0.6974488,0.7263641,0.7426832,0.7101264,0.7744266,0.81803113,0.70102763,0.78380644,0.7156276,0.7524729,0.7530965,0.7328009,0.78038883,0.83616686,0.7309466,0.8365717,0.7181726,0.8159751,0.7315543,0.79768187,0.7441294,0.358508,0.31651902,0.35050583,0.26881734,0.35581863,0.23615576,0.37062797,0.21456838,0.39311832,0.20764787,0.35591984,0.2122298,0.3768829,0.16289334,0.4031921,0.1624403,0.41380194,0.17694941,0.3754507,0.21545589,0.40274215,0.15582381,0.42890984,0.15681176,0.43707016,0.17710945,0.39416692,0.22920705,0.4389189,0.18481395,0.45851535,0.19846661,0.45826468,0.21558273,0.41671875,0.25145027,0.46235374,0.22785182,0.47784802,0.23411158,0.47428352,0.24389756
1177839078,0.5044913,0.36932915,0.5451672,0.33309886,0.46230605,0.33688703,0.57713836,0.35400277,0.43181342,0.35697988,0.69379014,0.5960713,0.342636,0.56790954,0.78926045,0.9613093,0.10370096,0.6339283,0.7773614,0.78518814,0.2901202,0.36194658,0.6108629,1.0,0.39963543,1.0,0.61421037,1.0,0.3865307,1.0,0.60283655,1.0,0.38747767,1.0,0.53943986,0.41021004,0.47210053,0.40574747,0.79063743,0.73799956,0.32630047,0.2787373,0.7756853,0.71181655,0.3391376,0.2672617,0.75865656,0.7180693,0.34422284,0.29672685,0.7679658,0.7996768,0.7347679,0.76847976,0.7124369,0.7250301,0.70059353,0.6938061,0.6951741,0.6635014,0.7630923,0.6620819,0.73203695,0.6693432,0.71219486,0.697345,0.695963,0.724062,0.79503137,0.67387813,0.7552,0.6933159,0.72753185,0.73663974,0.71203786,0.76842546,0.81974715,0.69867826,0.7847147,0.7133055,0.7536786,0.7509069,0.7352333,0.77851325,0.83854353,0.72907066,0.83663785,0.71574414,0.8166682,0.727557,0.79930335,0.73857564,0.31013256,0.34437746,0.3043333,0.2983732,0.3150342,0.26489487,0.33128825,0.25021923,0.348353,0.24199109,0.31264493,0.24408457,0.32850364,0.18814653,0.3537317,0.19101664,0.36295357,0.2101067,0.32696456,0.24523224,0.3450483,0.18540074,0.37184197,0.19303109,0.3796471,0.21674795,0.3437724,0.2590724,0.38391048,0.22113332,0.4031471,0.23626825,0.40331897,0.25434297,0.36551926,0.28347158,0.40810072,0.27882668,0.4144139,0.28844243,0.4046645,0.29934654
1177839408,0.50616914,0.3797064,0.55105937,0.33977446,0.46467862,0.34300345,0.58676845,0.35936034,0.43771526,0.36149344,0.69306207,0.58670163,0.35816413,0.5660327,0.7975299,0.92426586,0.18859564,0.7657932,0.7587827,0.78115886,0.3107969,0.65693694,0.611116,1.0,0.41573426,1.0,0.6452593,1.0,0.40949664,1.0,0.6278203,1.0,0.41724095,1.0,0.5429774,0.4196378,0.4753613,0.41781527,0.74885815,0.7465359,0.3498818,0.6425739,0.7276045,0.70882,0.3792581,0.6163081,0.71476305,0.71522,0.37656602,0.6247103,0.75301594,0.8011515,0.7147983,0.76441085,0.6883089,0.722176,0.6691915,0.6925011,0.6502447,0.66382265,0.72697884,0.661651,0.68726504,0.67300296,0.66330385,0.6999503,0.6434723,0.7229468,0.75600946,0.6721928,0.7075082,0.6934003,0.68134695,0.7351233,0.6667678,0.7660793,0.7785368,0.6964812,0.7354765,0.7119363,0.70335853,0.7441755,0.6832722,0.76786584,0.7943457,0.7274802,0.7785056,0.7276302,0.7550988,0.738432,0.7350736,0.7466285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1177840089,0.5153086,0.3886687,0.55894226,0.3456009,0.47587374,0.35128123,0.5935304,0.36281484,0.44965905,0.37210566,0.7037278,0.57901293,0.36808273,0.5706851,0.81070024,0.9292556,0.20895013,0.8158615,0.7193909,0.755239,0.33853132,0.8131635,0.608022,1.0,0.40147212,1.0,0.62296194,1.0,0.39497176,1.0,0.6033437,1.0,0.39595944,1.0,0.5503591,0.42572725,0.48657718,0.43009028,0.67874175,0.74342924,0.3710245,0.8386463,0.6502545,0.71015215,0.4046769,0.8136468,0.6495698,0.7165114,0.40246892,0.8038021,0.73751163,0.78987217,0.676253,0.76613015,0.6361461,0.73462987,0.6046982,0.7146249,0.5754416,0.68979263,0.665564,0.68242586,0.61356115,0.6870791,0.5857409,0.70840853,0.56148374,0.73121625,0.69071114,0.6933979,0.64043355,0.69228965,0.6064683,0.7214013,0.5812783,0.74575704,0.71376455,0.71486557,0.6749813,0.7074677,0.63820785,0.7290951,0.61198586,0.75101894,0.7308856,0.7425946,0.7152493,0.7381153,0.69082195,0.7478035,0.6677587,0.760648,0.32605866,0.7874813,0.37043512,0.8038046,0.4116477,0.8193179,0.44143224,0.8347603,0.47055522,0.84883034,0.4296214,0.7744771,0.43844673,0.84072596,0.42543504,0.8592995,0.41771746,0.8604629,0.39814994,0.7699836,0.4031015,0.848944,0.39387012,0.86753774,0.3943032,0.87235975,0.36443692,0.77645534,0.37098622,0.84526366,0.3726914,0.8688107,0.37765214,0.8808772,0.33363682,0.7877956,0.33970436,0.83531475,0.34628493,0.857206,0.35262445,0.87127745
1177840263,0.5211748,0.38978022,0.56431127,0.34779662,0.4799642,0.35150898,0.595317,0.36514714,0.4504024,0.3724387,0.70374215,0.57848126,0.36352196,0.5697801,0.80972797,0.92606735,0.20936443,0.83618164,0.7195828,0.7576555,0.33679783,0.8075343,0.6098181,1.0,0.39979145,1.0,0.62323755,1.0,0.38757783,1.0,0.6041454,1.0,0.38967344,1.0,0.55312175,0.42700005,0.48896572,0.43037418,0.6806325,0.7447018,0.37123418,0.8275359,0.652361,0.71167713,0.40300408,0.80764663,0.6514611,0.718289,0.40028018,0.7984848,0.73533785,0.7917148,0.675914,0.7715026,0.63425916,0.7388446,0.60716933,0.71594316,0.5832011,0.69084024,0.6672082,0.68565685,0.6201857,0.6926368,0.59418964,0.7123393,0.57280886,0.7349709,0.6913242,0.6939336,0.6422733,0.69624215,0.6111391,0.721233,0.58812284,0.7432875,0.71539366,0.7110163,0.67625827,0.7105413,0.6438284,0.7305523,0.6197867,0.7499201,0.7383785,0.7381255,0.72005045,0.7383962,0.6974378,0.7489651,0.67631656,0.7591464,0.33419803,0.7950625,0.38372514,0.8072358,0.42052284,0.81518614,0.44249734,0.8233658,0.4804882,0.8218252,0.4211285,0.7625124,0.4445147,0.8156354,0.43344626,0.83796626,0.42059174,0.84097815,0.39125738,0.7662783,0.41308722,0.83963084,0.39764157,0.8475663,0.38631275,0.83441263,0.35838193,0.7774,0.38365453,0.8441247,0.37049043,0.8446632,0.36513147,0.82812685,0.32989228,0.7924619,0.3440777,0.837889,0.34554005,0.8444632,0.34671372,0.83934486
1177841314,0.4949623,0.39793527,0.5374433,0.3569565,0.4584467,0.36397514,0.5724232,0.37342647,0.43449128,0.3835112,0.6837883,0.5783287,0.3539286,0.57860357,0.7761759,0.920037,0.21898375,0.8349364,0.57274354,0.7625758,0.32499605,0.84486836,0.62400955,1.0,0.4038847,1.0,0.6536486,1.0,0.41466674,1.0,0.6554315,1.0,0.42078835,1.0,0.5339648,0.4322634,0.4684918,0.43719405,0.5060779,0.7479106,0.351491,0.879887,0.4966745,0.71691895,0.38093957,0.85207784,0.5080887,0.7202656,0.37830505,0.83621943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31973684,0.8384403,0.37811106,0.8540738,0.42322356,0.8665952,0.44835526,0.88463914,0.47900122,0.89474905,0.43132958,0.82629585,0.4513979,0.8838059,0.44566035,0.9092525,0.43996716,0.91821796,0.3965506,0.8307428,0.4202963,0.8996616,0.4078337,0.91218436,0.4051897,0.9102047,0.36015877,0.8415182,0.38410524,0.90487784,0.38202536,0.91080916,0.38654047,0.9035406,0.33001012,0.8577938,0.3476886,0.90422034,0.35702547,0.91474134,0.3669695,0.91645724
