timestamp,points,mean_px,max_px,mean_norm,max_norm
692929607,75,737.531,4188.765,0.68290,3.87849
692929823,54,917.665,4069.686,0.84969,3.76823
692929958,75,730.290,4078.948,0.67619,3.77680
692930070,54,974.397,4057.653,0.90222,3.75709
692930203,75,735.787,3982.833,0.68128,3.68781
692930322,75,732.636,3859.625,0.67837,3.57373
692930446,75,701.812,3716.275,0.64983,3.44100
692930571,75,728.619,3763.429,0.67465,3.48466
692930695,75,728.756,3792.028,0.67477,3.51114
692930820,75,721.187,3795.580,0.66777,3.51443
692930948,75,705.703,3752.995,0.65343,3.47500
692931082,54,914.360,3756.043,0.84663,3.47782
692931203,75,683.907,3810.805,0.63325,3.52852
692931322,75,689.202,3829.014,0.63815,3.54538
692931454,75,675.874,3664.490,0.62581,3.39305
692931580,75,689.842,3753.257,0.63874,3.47524
692931947,75,714.940,3874.032,0.66198,3.58707
692932076,75,717.987,3867.733,0.66480,3.58123
692932202,75,720.053,3866.024,0.66672,3.57965
692932315,75,711.747,3774.949,0.65903,3.49532
692932434,75,715.857,3822.973,0.66283,3.53979
692932539,75,717.682,3870.612,0.66452,3.58390
692932654,75,716.402,3874.118,0.66334,3.58715
692932851,75,722.064,3940.353,0.66858,3.64847
692932952,75,723.109,3958.627,0.66955,3.66540
692933059,75,720.459,3938.334,0.66709,3.64661
692933168,75,720.638,3945.022,0.66726,3.65280
692933274,75,720.831,3927.594,0.66744,3.63666
692933384,75,723.304,3926.823,0.66973,3.63595
692933491,75,723.856,3953.175,0.67024,3.66035
692933963,54,932.944,4015.752,0.86384,3.71829
692934074,75,810.012,4035.888,0.75001,3.73693
692934196,75,802.365,3982.637,0.74293,3.68763
692934315,75,784.230,3937.828,0.72614,3.64614
692934426,75,785.172,3893.947,0.72701,3.60551
692934546,75,776.421,3886.075,0.71891,3.59822
692934660,75,781.884,3977.966,0.72397,3.68330
692934777,75,772.643,3993.192,0.71541,3.69740
692934901,75,762.889,3985.614,0.70638,3.69038
692935014,75,748.884,3925.718,0.69341,3.63492
692935129,75,750.392,3941.234,0.69481,3.64929
692935256,54,820.256,3938.567,0.75950,3.64682
692935365,54,831.313,3941.671,0.76973,3.64970
