timestamp,points,mean_px,max_px,mean_norm,max_norm
690160082,33,1369.698,4122.838,1.26824,3.81744
690160195,54,910.865,4118.867,0.84339,3.81377
690160318,54,842.647,4047.675,0.78023,3.74785
690160444,54,837.907,3837.722,0.77584,3.55345
690160571,54,817.487,3740.354,0.75693,3.46329
690160699,54,802.534,3559.118,0.74309,3.29548
690160950,75,584.504,3328.811,0.54121,3.08223
690161328,75,607.511,3385.834,0.56251,3.13503
690161451,75,630.651,3505.588,0.58394,3.24591
690161582,75,636.166,3521.321,0.58904,3.26048
690161682,75,637.843,3435.128,0.59060,3.18067
690161961,75,624.728,3372.030,0.57845,3.12225
690162042,75,620.918,3389.340,0.57492,3.13828
690162127,75,626.346,3343.002,0.57995,3.09537
690162214,75,629.020,3348.581,0.58243,3.10054
690162478,75,628.288,3351.973,0.58175,3.10368
690162570,75,624.799,3364.322,0.57852,3.11511
690162667,75,619.414,3355.016,0.57353,3.10650
690162768,75,613.611,3323.806,0.56816,3.07760
690162869,75,625.781,3370.034,0.57943,3.12040
690162975,75,627.165,3315.032,0.58071,3.06947
690163171,54,732.099,3369.222,0.67787,3.11965
690163275,75,665.448,3478.403,0.61616,3.22074
690163376,75,658.989,3470.815,0.61018,3.21372
690163470,75,654.795,3431.461,0.60629,3.17728
690163575,75,652.949,3418.253,0.60458,3.16505
690163672,75,651.869,3378.954,0.60358,3.12866
690163771,75,622.362,3273.651,0.57626,3.03116
690163880,75,613.112,3254.676,0.56770,3.01359
690163985,75,604.433,3262.717,0.55966,3.02103
690164094,75,603.810,3269.926,0.55908,3.02771
690164205,75,608.130,3321.016,0.56308,3.07502
690164313,75,616.490,3380.436,0.57082,3.13003
690164423,75,622.507,3383.239,0.57640,3.13263
690164543,54,704.336,3399.973,0.65216,3.14812
690164644,54,701.160,3403.972,0.64922,3.15183
690164745,54,683.503,3363.007,0.63287,3.11390
690165071,75,611.834,3319.890,0.56651,3.07397
690165179,75,627.028,3272.760,0.58058,3.03033
690165289,75,624.232,3281.088,0.57799,3.03804
690165403,75,611.920,3257.820,0.56659,3.01650
690165503,75,609.987,3262.251,0.56480,3.02060
690165616,75,599.624,3284.902,0.55521,3.04158
690165724,75,599.055,3297.624,0.55468,3.05336
690165836,54,674.911,3288.384,0.62492,3.04480
690166049,75,599.861,3361.788,0.55543,3.11277
690166165,75,606.767,3380.086,0.56182,3.12971
690166263,75,600.729,3359.790,0.55623,3.11092
690166373,75,576.091,3352.332,0.53342,3.10401
690166479,54,689.188,3390.515,0.63814,3.13937
690166591,75,562.212,3480.193,0.52057,3.22240
690166699,75,588.315,3537.562,0.54474,3.27552
690166813,75,592.776,3527.424,0.54887,3.26613
690166931,75,593.824,3521.570,0.54984,3.26071
690167050,75,588.210,3507.002,0.54464,3.24722
690167159,75,573.381,3479.834,0.53091,3.22207
690167267,75,566.658,3481.225,0.52468,3.22336
690167369,75,558.301,3452.461,0.51695,3.19672
690167476,75,556.458,3455.343,0.51524,3.19939
690167585,75,553.277,3445.063,0.51229,3.18987
690167692,75,552.035,3443.095,0.51114,3.18805
690167798,75,554.785,3443.137,0.51369,3.18809
690167916,75,566.183,3510.710,0.52424,3.25066
690168033,75,578.333,3562.883,0.53549,3.29897
690168152,75,588.038,3627.813,0.54448,3.35909
690168268,75,580.464,3636.155,0.53747,3.36681
690168396,75,579.234,3647.992,0.53633,3.37777
690168515,75,574.128,3646.111,0.53160,3.37603
690168648,75,578.126,3639.157,0.53530,3.36959
690168767,75,576.659,3581.440,0.53394,3.31615
690168892,75,590.922,3617.241,0.54715,3.34930
690169015,75,585.986,3616.616,0.54258,3.34872
690169148,75,590.611,3617.610,0.54686,3.34964
690169267,75,590.140,3625.722,0.54643,3.35715
690169394,75,581.776,3646.211,0.53868,3.37612
690169523,75,566.133,3576.338,0.52420,3.31142
690169643,75,577.123,3622.497,0.53437,3.35416
690169766,75,563.451,3595.250,0.52171,3.32893
690169894,75,558.349,3507.362,0.51699,3.24756
690170018,75,565.100,3515.170,0.52324,3.25479
690170147,75,562.356,3547.468,0.52070,3.28469
690170266,75,559.722,3483.391,0.51826,3.22536
690170396,75,556.507,3491.498,0.51528,3.23287
690170517,75,551.900,3445.670,0.51102,3.19044
690170647,75,552.265,3445.035,0.51136,3.18985
690170774,75,546.357,3415.036,0.50589,3.16207
690170897,75,547.007,3414.896,0.50649,3.16194
690171023,75,549.385,3404.881,0.50869,3.15267
690171145,75,548.225,3395.637,0.50762,3.14411
690171268,75,552.232,3440.748,0.51133,3.18588
690171400,75,555.775,3453.419,0.51461,3.19761
690171645,75,558.513,3489.123,0.51714,3.23067
690171768,75,558.687,3488.696,0.51730,3.23027
690172004,75,557.646,3509.740,0.51634,3.24976
690172592,75,564.770,3517.790,0.52294,3.25721
690173162,75,563.600,3573.490,0.52185,3.30879
690173610,75,569.382,3585.027,0.52721,3.31947
690174226,75,572.899,3574.154,0.53046,3.30940
690174598,75,559.376,3493.360,0.51794,3.23459
690175346,54,739.496,3600.043,0.68472,3.33337
690175727,54,764.036,3740.656,0.70744,3.46357
690176227,33,1321.689,3841.891,1.22379,3.55731
690176476,33,1389.998,3898.065,1.28703,3.60932
690176609,33,1398.950,4084.529,1.29532,3.78197
690176840,33,1709.183,4768.196,1.58258,4.41500
690177391,54,1574.573,5317.032,1.45794,4.92318
690177494,54,1604.771,5536.017,1.48590,5.12594
690177582,54,1661.278,5825.050,1.53822,5.39356
690178279,54,1932.809,7280.104,1.78964,6.74084
690178882,54,1863.791,7327.971,1.72573,6.78516
690179660,54,1956.485,7380.577,1.81156,6.83387
690179893,54,1844.840,7319.477,1.70818,6.77729
690180588,54,1871.221,7406.781,1.73261,6.85813
690181241,54,1921.145,7315.686,1.77884,6.77378
690181393,54,1816.791,7173.497,1.68221,6.64213
690182590,54,1821.421,7011.408,1.68650,6.49204
690182823,54,1667.108,6862.572,1.54362,6.35423
690183414,33,1976.053,6044.316,1.82968,5.59659
690183823,33,1807.640,5291.594,1.67374,4.89962
690183914,33,1803.410,5166.951,1.66982,4.78421
690183992,33,1721.075,4913.847,1.59359,4.54986
690184077,33,1694.794,4902.381,1.56925,4.53924
690184160,33,1689.111,4901.310,1.56399,4.53825
690184234,33,1721.104,4913.523,1.59362,4.54956
690184458,33,1828.590,4989.410,1.69314,4.61982
690184801,33,1739.111,5151.357,1.61029,4.76978
690185011,54,1488.802,5308.234,1.37852,4.91503
690185135,54,1425.742,5144.950,1.32013,4.76384
690185280,33,1849.692,5410.996,1.71268,5.01018
690185536,33,1837.966,5432.142,1.70182,5.02976
690185628,33,1818.236,5426.472,1.68355,5.02451
690185727,33,1792.190,5366.746,1.65943,4.96921
690185829,33,1842.427,5366.844,1.70595,4.96930
690185935,33,1788.909,5243.887,1.65640,4.85545
690186037,33,1926.589,5483.348,1.78388,5.07717
690186147,33,1761.426,5329.006,1.63095,4.93427
690186258,54,1400.617,5330.400,1.29687,4.93556
690186370,54,1383.083,5222.636,1.28063,4.83577
690186473,54,1442.736,5247.240,1.33587,4.85856
690186587,54,1476.955,5290.326,1.36755,4.89845
690186711,54,1433.400,5399.151,1.32722,4.99921
690186820,54,1475.802,5449.498,1.36648,5.04583
690186938,54,1478.647,5467.977,1.36912,5.06294
690187057,54,1466.148,5469.229,1.35754,5.06410
690187173,54,1478.814,5536.966,1.36927,5.12682
690187287,54,1503.019,5514.204,1.39168,5.10574
690187410,33,1777.075,5438.700,1.64544,5.03583
690187522,33,1750.378,5369.604,1.62072,4.97186
690187637,33,1723.771,5229.969,1.59608,4.84256
690187769,33,1722.339,5115.917,1.59476,4.73696
690187890,33,1729.489,5093.666,1.60138,4.71636
690188015,33,573.463,2437.545,0.53098,2.25699
690188139,0,0.000,0.000,0.00000,0.00000
690188264,0,0.000,0.000,0.00000,0.00000
690188388,0,0.000,0.000,0.00000,0.00000
690188515,0,0.000,0.000,0.00000,0.00000
690188643,54,1462.705,6324.369,1.35436,5.85590
690188762,33,2129.330,6268.237,1.97160,5.80392
690188886,33,2354.344,6210.207,2.17995,5.75019
