timestamp,points,mean_px,max_px,mean_norm,max_norm
690146778,33,1236.764,3938.009,1.14515,3.64630
690146902,33,1227.716,3831.925,1.13677,3.54808
690147019,33,1151.621,3612.783,1.06632,3.34517
690147149,33,992.237,3350.002,0.91874,3.10185
690147265,54,766.125,3398.404,0.70937,3.14667
690147393,54,793.487,3345.503,0.73471,3.09769
690147526,54,705.097,3313.122,0.65287,3.06771
690147649,33,1056.261,3282.354,0.97802,3.03922
690147768,33,1129.358,3461.625,1.04570,3.20521
690147901,33,1230.760,3601.632,1.13959,3.33484
690148021,54,843.857,3453.928,0.78135,3.19808
690148149,54,745.209,3585.010,0.69001,3.31945
690148269,54,771.824,3579.315,0.71465,3.31418
690148395,54,791.378,3541.223,0.73276,3.27891
690148643,75,573.598,3490.658,0.53111,3.23209
690148765,75,593.142,3485.458,0.54921,3.22728
690148889,75,603.354,3482.434,0.55866,3.22448
690149014,54,804.109,3478.923,0.74455,3.22123
690149135,75,538.895,3044.963,0.49898,2.81941
690149263,75,545.789,3090.832,0.50536,2.86188
690149388,75,553.964,3120.372,0.51293,2.88923
690149517,75,551.870,3145.921,0.51099,2.91289
690149638,75,545.881,3149.740,0.50544,2.91643
690149766,75,559.337,3285.086,0.51790,3.04175
690149888,75,550.312,3247.247,0.50955,3.00671
690150014,75,542.727,3181.417,0.50253,2.94576
690150138,75,548.270,3180.854,0.50766,2.94524
690150271,75,553.801,3173.544,0.51278,2.93847
690150397,75,557.277,3079.594,0.51600,2.85148
690150513,75,577.260,3344.595,0.53450,3.09685
690150639,75,580.079,3429.636,0.53711,3.17559
690150766,75,568.151,3428.517,0.52607,3.17455
690150890,54,913.084,3540.290,0.84545,3.27805
690151022,75,713.839,3577.459,0.66096,3.31246
690151139,75,670.500,3529.848,0.62083,3.26838
690151267,54,795.396,3459.884,0.73648,3.20360
690151390,75,557.729,3318.890,0.51642,3.07305
690151632,33,1080.672,3285.755,1.00062,3.04237
690151750,33,1332.093,3455.776,1.23342,3.19979
690152097,54,1271.456,3775.867,1.17727,3.49617
690152223,54,1280.964,3885.638,1.18608,3.59781
690152349,54,1253.866,3878.580,1.16099,3.59128
690152725,54,1314.481,4035.633,1.21711,3.73670
690152852,33,1502.331,4058.883,1.39105,3.75822
690152979,33,1420.864,3913.322,1.31562,3.62345
690153849,33,1376.919,3996.010,1.27493,3.70001
690153974,33,1285.924,3991.620,1.19067,3.69594
690154099,33,1270.372,3815.804,1.17627,3.53315
690154228,54,1096.325,3983.536,1.01512,3.68846
690154353,54,1101.550,3958.792,1.01995,3.66555
690154484,54,1128.425,3993.505,1.04484,3.69769
timestamp,points,mean_px,max_px,mean_norm,max_norm
690154602,54,1154.953,4139.042,1.06940,3.83245
