timestamp,points,mean_px,max_px,mean_norm,max_norm
691640821,75,730.989,4552.561,0.67684,4.21533
691640944,75,723.660,4363.227,0.67006,4.04002
691641075,75,701.535,4167.287,0.64957,3.85860
691641193,75,682.445,4088.933,0.63189,3.78605
691641317,75,655.366,3851.149,0.60682,3.56588
691641678,75,629.910,3654.617,0.58325,3.38390
691641740,75,648.774,3596.471,0.60072,3.33007
691641805,75,625.547,3443.134,0.57921,3.18809
691641952,75,626.112,3481.583,0.57973,3.22369
691642012,75,627.527,3464.035,0.58104,3.20744
691642143,75,612.212,3337.675,0.56686,3.09044
691642277,75,615.743,3330.210,0.57013,3.08353
691642348,75,611.919,3339.534,0.56659,3.09216
691642477,75,591.149,3303.674,0.54736,3.05896
691642621,75,580.670,3301.817,0.53766,3.05724
691642696,75,569.700,3210.194,0.52750,2.97240
691642766,75,559.219,3074.708,0.51780,2.84695
691642925,75,573.372,3182.127,0.53090,2.94641
691643143,75,643.231,3490.800,0.59558,3.23222
691643217,75,655.955,3533.185,0.60737,3.27147
691643742,75,669.466,3607.855,0.61988,3.34061
691643834,75,652.561,3594.477,0.60422,3.32822
691643914,75,637.205,3588.629,0.59001,3.32280
691644009,75,633.081,3612.750,0.58619,3.34514
691644097,75,621.821,3555.496,0.57576,3.29213
691644412,75,593.372,3542.102,0.54942,3.27972
691644529,75,611.385,3521.444,0.56610,3.26060
691644647,54,801.516,3471.251,0.74214,3.21412
691644768,54,802.762,3456.940,0.74330,3.20087
691644887,54,793.082,3428.767,0.73433,3.17478
691645012,75,611.758,3441.488,0.56644,3.18656
691645137,75,612.518,3442.375,0.56715,3.18738
691645263,75,602.330,3423.769,0.55771,3.17016
691645392,75,600.950,3424.556,0.55644,3.17089
691645511,75,618.105,3425.200,0.57232,3.17148
691645637,75,603.340,3461.855,0.55865,3.20542
691645762,75,604.818,3494.921,0.56002,3.23604
691645891,75,611.211,3493.733,0.56594,3.23494
691646011,75,592.753,3405.689,0.54885,3.15342
691646148,75,586.529,3399.171,0.54308,3.14738
691646265,75,613.062,3384.461,0.56765,3.13376
691646390,75,626.904,3401.087,0.58047,3.14915
691646515,75,627.010,3402.385,0.58056,3.15036
691646639,75,636.435,3443.877,0.58929,3.18878
691646764,75,661.735,3443.629,0.61272,3.18855
691646888,75,661.879,3440.736,0.61285,3.18587
691647014,75,657.896,3392.968,0.60916,3.14164
691647140,75,646.199,3369.823,0.59833,3.12021
691647263,75,647.200,3374.642,0.59926,3.12467
691647391,75,642.577,3390.261,0.59498,3.13913
691647515,75,652.506,3412.895,0.60417,3.16009
691647631,75,649.969,3419.672,0.60182,3.16636
691647754,75,661.740,3474.660,0.61272,3.21728
691647884,75,654.671,3516.842,0.60618,3.25634
691648004,75,657.222,3485.159,0.60854,3.22700
691648125,75,660.533,3422.307,0.61160,3.16880
691648253,75,694.876,3423.830,0.64340,3.17021
691648376,75,688.323,3413.143,0.63734,3.16032
691648504,75,647.219,3382.227,0.59928,3.13169
691648628,75,639.872,3344.194,0.59247,3.09648
691648749,75,639.936,3338.460,0.59253,3.09117
691648876,75,637.702,3340.417,0.59046,3.09298
691649005,75,641.611,3380.292,0.59408,3.12990
691649126,75,666.002,3384.694,0.61667,3.13398
691649250,75,645.552,3370.528,0.59773,3.12086
691649376,75,647.923,3360.870,0.59993,3.11192
691649503,75,665.037,3351.042,0.61578,3.10282
691649630,75,671.396,3394.667,0.62166,3.14321
691649755,75,689.795,3460.364,0.63870,3.20404
691649876,75,701.847,3468.560,0.64986,3.21163
691650001,75,666.115,3410.632,0.61677,3.15799
691650127,75,644.303,3350.144,0.59658,3.10198
691650249,75,646.237,3370.978,0.59837,3.12128
691650375,75,643.612,3360.060,0.59594,3.11117
691650514,75,660.466,3330.453,0.61154,3.08375
691650632,75,645.133,3323.865,0.59735,3.07765
691650755,75,664.814,3356.770,0.61557,3.10812
691650868,75,672.753,3375.581,0.62292,3.12554
691650985,75,643.958,3353.797,0.59626,3.10537
691651102,75,662.121,3343.976,0.61308,3.09627
691651234,75,658.924,3293.286,0.61011,3.04934
691651358,75,639.362,3267.066,0.59200,3.02506
691651481,75,654.803,3324.288,0.60630,3.07804
691651600,75,634.416,3327.788,0.58742,3.08129
691651730,75,636.131,3332.817,0.58901,3.08594
691651850,75,636.012,3309.879,0.58890,3.06470
691651978,75,633.292,3340.058,0.58638,3.09265
691652101,75,635.230,3340.795,0.58818,3.09333
691652226,75,640.419,3333.943,0.59298,3.08698
691652355,75,692.216,3334.122,0.64094,3.08715
691652476,75,659.913,3336.290,0.61103,3.08916
691652602,75,643.433,3363.109,0.59577,3.11399
691652854,75,656.411,3425.120,0.60779,3.17141
691653229,75,640.508,3336.443,0.59306,3.08930
691653481,75,639.020,3299.111,0.59169,3.05473
691653864,75,647.383,3367.466,0.59943,3.11802
691654611,75,672.883,3385.448,0.62304,3.13467
691654985,75,746.353,3454.614,0.69107,3.19872
691655360,54,1033.503,3712.281,0.95695,3.43730
691655613,54,1142.459,3992.623,1.05783,3.69687
691656247,33,1964.238,5265.905,1.81874,4.87584
