timestamp,points,mean_px,max_px,mean_norm,max_norm
691024771,75,914.069,3621.005,0.84636,3.35278
691024890,75,913.931,3617.564,0.84623,3.34960
691025045,75,914.136,3631.898,0.84642,3.36287
691025144,33,1218.665,3663.014,1.12839,3.39168
691025267,33,1086.329,3465.197,1.00586,3.20852
691025390,33,1155.124,3701.353,1.06956,3.42718
691025517,54,845.051,3748.968,0.78245,3.47127
691025641,54,869.989,3742.320,0.80555,3.46511
691025764,54,752.264,3730.016,0.69654,3.45372
691025892,54,739.228,3700.361,0.68447,3.42626
691026016,75,576.319,3668.332,0.53363,3.39660
691026144,75,569.765,3567.710,0.52756,3.30344
691026267,75,571.402,3457.553,0.52908,3.20144
691026401,75,578.724,3375.377,0.53586,3.12535
691026518,75,584.102,3385.947,0.54083,3.13514
691026642,75,585.987,3374.287,0.54258,3.12434
691026767,75,591.788,3410.366,0.54795,3.15775
691026896,75,589.481,3408.513,0.54582,3.15603
691027022,75,574.481,3300.530,0.53193,3.05605
691027143,75,560.490,3188.647,0.51897,2.95245
691027266,75,589.065,3417.546,0.54543,3.16439
691027397,75,532.663,2942.295,0.49321,2.72435
691027518,75,524.027,2838.634,0.48521,2.62837
691027646,75,572.651,3202.075,0.53023,2.96488
691027765,75,587.387,3351.238,0.54388,3.10300
691027879,75,597.431,3396.540,0.55318,3.14494
691027987,75,602.258,3448.959,0.55765,3.19348
691028098,75,599.320,3419.155,0.55493,3.16588
691028210,75,625.481,3386.883,0.57915,3.13600
691028317,75,604.364,3385.896,0.55960,3.13509
691028426,75,595.884,3384.837,0.55174,3.13411
691028543,75,600.278,3467.257,0.55581,3.21042
691028653,75,607.602,3486.262,0.56259,3.22802
691028780,75,602.075,3504.071,0.55748,3.24451
691028906,75,580.874,3448.345,0.53785,3.19291
691029034,54,778.445,3419.083,0.72078,3.16582
691029153,75,606.085,3486.016,0.56119,3.22779
691029280,75,621.373,3445.221,0.57535,3.19002
691029410,75,649.080,3430.475,0.60100,3.17637
691029532,75,647.789,3349.684,0.59980,3.10156
691029654,75,639.253,3276.614,0.59190,3.03390
691029782,75,637.050,3285.444,0.58986,3.04208
691029903,54,770.368,3257.909,0.71330,3.01658
691030028,75,623.046,3217.968,0.57689,2.97960
691030154,75,626.090,3225.489,0.57971,2.98656
691030279,75,619.801,3236.797,0.57389,2.99703
691030404,75,612.064,3253.713,0.56673,3.01270
691030538,54,775.026,3334.156,0.71762,3.08718
691030662,54,687.241,3345.059,0.63633,3.09728
691030780,54,692.712,3354.159,0.64140,3.10570
691030913,75,553.586,3353.197,0.51258,3.10481
691031030,75,572.389,3345.425,0.52999,3.09762
691031159,75,567.582,3327.549,0.52554,3.08106
691031280,75,570.856,3350.685,0.52857,3.10249
691031405,75,581.221,3337.448,0.53817,3.09023
691031780,75,605.080,3293.323,0.56026,3.04937
691031914,75,579.133,3301.375,0.53623,3.05683
691032161,75,573.220,3307.933,0.53076,3.06290
691032280,75,594.932,3381.996,0.55086,3.13148
691032414,75,559.295,3404.064,0.51787,3.15191
691032532,75,558.231,3411.953,0.51688,3.15922
691033033,75,583.774,3399.504,0.54053,3.14769
691033159,75,571.574,3385.358,0.52924,3.13459
691033285,75,578.596,3381.980,0.53574,3.13146
691033418,75,550.176,3374.543,0.50942,3.12458
691033541,75,581.658,3320.753,0.53857,3.07477
691033662,75,564.323,3323.991,0.52252,3.07777
691033783,75,576.409,3324.335,0.53371,3.07809
691033908,75,570.601,3299.458,0.52833,3.05505
691034038,75,568.876,3266.709,0.52674,3.02473
691034163,75,548.717,3312.052,0.50807,3.06672
691034287,75,583.799,3264.460,0.54055,3.02265
691034411,75,543.155,3257.200,0.50292,3.01593
691034532,75,540.236,3257.990,0.50022,3.01666
691034658,75,543.850,3313.586,0.50357,3.06814
691034783,75,546.621,3354.370,0.50613,3.10590
691035034,75,546.952,3359.178,0.50644,3.11035
691035161,75,551.548,3359.843,0.51069,3.11097
691035285,75,567.575,3382.628,0.52553,3.13206
691035411,75,588.989,3376.634,0.54536,3.12651
691035535,75,588.987,3357.329,0.54536,3.10864
691035661,75,568.766,3284.692,0.52664,3.04138
691035782,75,564.439,3269.140,0.52263,3.02698
691035909,75,562.196,3251.527,0.52055,3.01067
691036040,75,559.766,3208.705,0.51830,2.97102
691036159,75,549.833,3227.948,0.50911,2.98884
691036287,75,558.386,3230.008,0.51702,2.99075
