timestamp,points,mean_px,max_px,mean_norm,max_norm
746603047,42,122.527,259.726,0.11345,0.24049
timestamp,points,mean_px,max_px,mean_norm,max_norm
746603047,42,122.527,259.726,0.11345,0.24049
746603223,75,595.490,3671.994,0.55138,3.39999
746603223,75,625.189,3671.994,0.57888,3.39999
746603299,75,632.368,3712.123,0.58553,3.43715
746603299,75,636.844,3712.123,0.58967,3.43715
746603497,75,642.486,3712.123,0.59489,3.43715
746603497,75,637.735,3673.174,0.59050,3.40109
746603497,75,641.971,3732.112,0.59442,3.45566
746603586,75,642.948,3732.112,0.59532,3.45566
746603586,75,647.195,3784.648,0.59925,3.50430
746603701,75,645.392,3760.886,0.59759,3.48230
746603701,54,782.077,3760.886,0.72415,3.48230
746603830,54,772.698,3709.277,0.71546,3.43452
746603830,75,644.752,3709.277,0.59699,3.43452
746603949,75,642.116,3673.167,0.59455,3.40108
746603949,75,643.530,3673.167,0.59586,3.40108
746604077,75,637.768,3638.295,0.59053,3.36879
746604077,75,636.750,3638.295,0.58958,3.36879
746604215,75,636.059,3639.741,0.58894,3.37013
746604215,54,757.310,3639.741,0.70121,3.37013
746604333,54,762.958,3648.198,0.70644,3.37796
746604333,75,642.637,3648.198,0.59503,3.37796
746604458,75,652.052,3712.678,0.60312,3.43766
746604458,75,651.465,3712.678,0.60321,3.43766
746604578,75,648.322,3707.193,0.60030,3.43259
746604578,75,649.739,3707.193,0.60161,3.43259
746604710,54,771.790,3707.193,0.71462,3.43259
746604710,54,768.393,3695.490,0.71148,3.42175
746604829,54,768.167,3690.560,0.71127,3.41719
746604829,75,651.621,3690.560,0.60335,3.41719
746604953,75,652.768,3703.060,0.60441,3.42876
746604953,54,769.984,3703.060,0.71295,3.42876
746605078,54,764.827,3702.518,0.70817,3.42826
746605078,54,767.789,3702.518,0.71092,3.42826
746605202,54,773.783,3743.905,0.71647,3.46658
746605202,75,646.328,3743.905,0.59845,3.46658
746605328,75,645.166,3721.699,0.59738,3.44602
746605328,75,634.495,3721.699,0.58750,3.44602
746605456,75,631.523,3709.495,0.58474,3.43472
746605456,54,762.411,3709.495,0.70594,3.43472
746605580,54,755.216,3635.359,0.69927,3.36607
746605580,75,614.298,3635.359,0.56879,3.36607
746605709,75,614.720,3639.137,0.56918,3.36957
746605709,75,618.525,3639.137,0.57271,3.36957
746605829,75,625.082,3735.926,0.57878,3.45919
746605829,75,619.031,3735.926,0.57318,3.45919
746605963,75,619.731,3735.926,0.57382,3.45919
746605963,75,619.005,3734.629,0.57315,3.45799
746606082,75,623.004,3780.724,0.57686,3.50067
746606082,75,623.305,3780.724,0.57713,3.50067
746606204,75,624.827,3791.167,0.57854,3.51034
746606204,75,624.281,3791.167,0.57804,3.51034
746606327,75,635.092,3889.768,0.58805,3.60164
746606327,75,636.408,3889.768,0.58927,3.60164
746606457,75,631.773,3830.705,0.58498,3.54695
746606457,54,857.516,3830.705,0.79400,3.54695
746606578,54,853.662,3789.482,0.79043,3.50878
746606578,75,648.767,3789.482,0.60071,3.50878
746606707,75,638.562,3661.109,0.59126,3.38992
746606707,75,638.688,3661.109,0.59138,3.38992
746606828,75,638.923,3677.279,0.59160,3.40489
746606828,75,634.040,3677.279,0.58707,3.40489
746606953,75,631.202,3648.063,0.58445,3.37784
746606953,75,628.623,3648.063,0.58206,3.37784
746607080,75,627.018,3653.292,0.58057,3.38268
746607080,75,625.742,3653.292,0.57939,3.38268
746607208,75,626.491,3664.489,0.58008,3.39305
746607208,75,624.978,3664.489,0.57868,3.39305
746607329,75,626.292,3664.489,0.57990,3.39305
746607329,75,632.444,3711.001,0.58560,3.43611
746607455,75,625.844,3710.573,0.57949,3.43572
746607455,75,622.716,3710.573,0.57659,3.43572
746607582,75,622.521,3710.573,0.57641,3.43572
746607582,75,626.968,3710.293,0.58053,3.43546
746607706,75,625.714,3710.293,0.57936,3.43546
746607706,75,630.094,3718.318,0.58342,3.44289
746607831,75,636.562,3734.399,0.58941,3.45778
746607831,75,637.596,3734.399,0.59037,3.45778
746607954,75,635.294,3756.296,0.58824,3.47805
746607954,75,645.981,3756.296,0.59813,3.47805
746608079,75,657.495,3825.404,0.60879,3.54204
746608079,75,647.202,3825.404,0.59926,3.54204
746608213,75,648.478,3824.969,0.60044,3.54164
746608213,54,863.952,3824.969,0.79996,3.54164
746608331,54,854.089,3799.846,0.79082,3.51838
746608462,54,852.453,3735.116,0.78931,3.45844
746608462,54,796.174,3735.116,0.73720,3.45844
746608462,54,811.050,3735.116,0.75097,3.45844
746608582,54,807.189,3714.577,0.74740,3.43942
746608707,54,819.002,3670.311,0.75834,3.39844
746608582,54,829.275,3714.577,0.76785,3.43942
746608835,54,822.314,3668.473,0.76140,3.39673
746608835,75,662.023,3668.473,0.61298,3.39673
746608961,75,657.641,3643.536,0.60893,3.37364
746608961,75,652.228,3643.536,0.60391,3.37364
746609086,75,651.336,3642.941,0.60309,3.37309
746609086,54,787.003,3642.941,0.72871,3.37309
746609215,54,799.552,3707.056,0.74033,3.43246
746609215,75,646.246,3707.056,0.59838,3.43246
746609341,75,655.074,3786.591,0.60655,3.50610
746609341,75,644.569,3786.591,0.59682,3.50610
746609462,75,645.310,3813.763,0.59751,3.53126
746609462,75,643.352,3813.763,0.59570,3.53126
746609590,75,641.176,3823.893,0.59368,3.54064
746609590,75,635.812,3823.893,0.58871,3.54064
746609714,75,636.353,3820.812,0.58922,3.53779
746609714,75,607.794,3820.812,0.56277,3.53779
746609832,75,599.671,3824.538,0.55525,3.54124
746609832,75,582.106,3824.538,0.53899,3.54124
746609968,75,584.497,3831.553,0.54120,3.54773
746609968,75,579.537,3831.553,0.53661,3.54773
746610087,75,580.819,3860.891,0.53780,3.57490
746610087,75,591.319,3860.891,0.54752,3.57490
746610213,75,590.700,3868.928,0.54694,3.58234
746610213,75,589.463,3868.928,0.54580,3.58234
746610340,75,594.823,3884.804,0.55076,3.59704
746610340,75,612.142,3884.804,0.56680,3.59704
746610464,75,606.670,3846.532,0.56173,3.56160
746610464,75,639.800,3846.532,0.59241,3.56160
746610582,75,644.895,3855.114,0.59713,3.56955
746610582,75,683.040,3855.114,0.63244,3.56955
746610719,75,685.305,3858.185,0.63454,3.57239
746610719,54,834.417,3858.185,0.77261,3.57239
746610846,54,835.804,3870.970,0.77389,3.58423
timestamp,points,mean_px,max_px,mean_norm,max_norm
746610961,54,825.222,3848.692,0.76409,3.56360
746610961,75,645.361,3848.692,0.59756,3.56360
746611090,75,654.070,3849.239,0.60562,3.56411
746611210,75,654.906,3846.713,0.60639,3.56177
746611342,75,644.865,3761.980,0.59710,3.48331
746611342,75,654.947,3761.980,0.60595,3.48331
746611461,75,661.318,3768.176,0.61233,3.48905
746611461,75,694.502,3768.176,0.64306,3.48905
746611585,75,695.414,3757.552,0.64390,3.47921
746611585,75,684.866,3757.552,0.63414,3.47921
746611715,75,684.484,3752.260,0.63378,3.47431
746611715,75,691.160,3752.260,0.63996,3.47431
746611832,75,694.736,3731.356,0.64327,3.45496
746611832,75,692.857,3731.356,0.64153,3.45496
746611965,75,683.371,3697.482,0.63275,3.42359
746611965,75,684.961,3697.482,0.63422,3.42359
746612088,75,683.055,3698.655,0.63246,3.42468
746612088,75,685.536,3698.655,0.63476,3.42468
746612213,75,685.207,3687.225,0.63445,3.41410
746612213,75,663.553,3687.225,0.61440,3.41410
746612342,75,656.498,3614.055,0.60787,3.34635
746612342,75,656.850,3614.055,0.60803,3.34635
746612461,75,655.074,3621.029,0.60655,3.35280
746612461,75,657.334,3621.029,0.60854,3.35280
746612595,75,660.928,3631.248,0.61197,3.36227
746612595,75,674.463,3631.248,0.62450,3.36227
746612720,75,673.743,3630.961,0.62384,3.36200
746612720,75,679.440,3630.961,0.62911,3.36200
746612837,75,678.893,3608.338,0.62860,3.34105
746612957,75,656.296,3609.505,0.60768,3.34213
746612957,75,667.804,3609.505,0.61802,3.34213
746613085,75,656.454,3607.169,0.60783,3.33997
746613085,75,659.211,3607.169,0.60963,3.33997
746613210,75,657.194,3605.817,0.60851,3.33872
746613210,75,657.524,3605.817,0.60870,3.33872
746613210,75,656.621,3605.817,0.60795,3.33872
746613339,75,657.396,3611.397,0.60870,3.34389
746613339,75,658.156,3611.397,0.60940,3.34389
746613465,75,659.993,3608.215,0.61110,3.34094
746613465,75,661.535,3608.215,0.61253,3.34094
746613590,75,658.282,3603.881,0.60952,3.33693
